id,TotalCycle_h,Weight_T,SoakingTime_h,TargetTemp_C,EnergyConsumption_m3
6329,NULL,1111.111,3,930,3.1
6328,7.1167,1.76,3,1080,645.6
6327,1.7489,1.76,3,1080,93.86
6326,5.8317,6.734,4,620,276.58
6325,10.3722,6.734,4,930,579.58
6324,7.5389,5.248,3,930,476.39
6323,4.7797,6.612,3,620,219.66
6322,8.3436,6.612,3,930,558.82
6321,5.2294,5.784,3.5,620,200.62
6320,6.2258,5.784,3.5,930,418.1
6319,NULL,5.784,3.5,930,NULL
6318,4.7419,5.784,3.5,930,262.96
6317,4.9675,6.593,3,620,221.83
6316,8.2528,6.593,3,930,566.56
6315,5.2692,5.276,3.5,620,206.52
6314,7.9844,5.276,3.5,930,506
6313,5.4653,5.587,3.5,620,214.6
6312,8.8086,5.587,3.5,930,542.41
6311,4.7739,5.625,3,620,200.78
6310,7.6103,5.625,3,930,493.83
6309,4.7583,5.248,3,620,200.48
6308,8.5628,5.248,3,930,529.78
6307,7.3472,6.72,5,590,297.97
6306,10.4347,6.72,5,900,662.8
6305,4.7383,5.84,3,620,198.69
6304,7.7094,5.84,3,930,486.72
6303,4.8411,6.137,3,620,199.62
6302,8.0972,6.137,3,930,525.25
6301,4.7086,6.055,3,620,193.54
6300,7.5822,6.055,3,930,485.44
6299,5.0483,6.438,3,620,202.35
6298,8.1419,6.438,3,930,525.37
6297,4.7347,6.11,3,620,203.83
6296,7.7800,6.11,3,930,502.25
6295,4.7283,5.182,3,620,176.35
6294,NULL,5.182,3,620,NULL
6293,7.4036,5.182,3,930,456.65
6292,4.7161,5.248,3,620,189.75
6291,7.7514,5.248,3,930,476.65
6290,4.8703,5.626,3,620,188.88
6289,7.4253,5.626,3,930,481.12
6288,4.7597,7.019,3,620,212.53
6287,7.9156,7.019,3,930,530.03
6286,4.8097,6.682,3,620,212.53
6285,7.7139,6.682,3,930,514.03
6284,4.7794,5.248,3,620,193.45
6283,7.7361,5.248,3,930,496.52
6282,4.8047,5.551,3,620,228.61
6281,4.7933,7.302,3,620,213.09
6280,7.6972,7.302,3,930,486.28
6279,7.4225,5.551,3,930,461.54
6278,7.9242,5.248,3,930,504.88
6277,4.6794,5.401,3,620,218.35
6276,5.9786,5.401,3,930,409.55
6275,1.9975,5.401,3,620,100.03
6274,7.4261,6.054,3,930,489.23
6273,4.7361,5.117,3,620,198.78
6272,6.8694,5.117,3,930,406.06
6271,7.9150,1.887,3.5,1080,490.36
6270,7.3686,5.248,3,930,467.37
6269,7.3289,5.248,3,930,483.14
6268,7.0808,5.248,3,930,1.07
6267,4.7506,4.828,3,620,200.57
6266,7.1872,3.412,3,950,449.03
6265,7.4478,4.828,3,930,512.91
6264,4.9869,5.976,3,620,255.86
6263,0.5428,5.978,3,620,648.12
6262,8.2581,5.978,3,930,647.05
6261,5.8094,5.829,3.5,620,268.52
6260,4.7561,6.166,3,620,223.46
6259,7.5414,6.166,3,930,508.57
6258,9.6683,5.829,3.5,930,689.3
6257,7.0150,7,5,590,249.35
6256,10.5419,7,5,900,715.89
6255,8.9672,6.851,7,590,389.06
6254,4.8467,6.733,3,620,241.29
6253,8.2350,6.733,3,930,620.25
6252,4.9508,6.349,3,620,216.04
6251,7.8333,6.349,3,930,543.54
6250,4.7278,4.577,3,620,199
6249,7.9642,4.945,3,930,519.17
6248,5.2589,6.054,3,620,210.8
6247,9.2172,6.054,3,930,585.89
6246,4.8128,6.362,3,620,211.23
6245,9.3986,6.362,3,930,572.03
6244,16.6747,4.26,7,930,1108.06
6243,NULL,4.26,7,930,3.21
6242,4.7578,6.478,3,620,173.24
6241,7.4883,6.478,3,930,395.23
6240,7.9008,6.739,3,930,438.64
6239,4.7025,5.414,3,620,153.32
6238,7.0028,5.414,3,930,338.39
6237,7.6839,5.248,3,930,373.75
6236,8.0456,7.21,3,930,456.11
6235,5.6778,3.6,4,560,150.12
6234,10.2483,3.6,4,900,473.27
6233,9.4181,7.346,3,930,528.2
6232,8.6883,5.25,7,590,245.14
6231,12.4625,8.25,7,900,619.48
6230,0.4261,8.25,7,900,NULL
6229,8.7806,5.805,3,930,448.94
6228,4.9736,6.456,3,620,183.72
6227,7.9233,6.456,3,930,436.88
6226,4.9625,6.086,3,620,173.94
6225,NULL,6.086,3,620,NULL
6224,8.4122,6.086,3,930,464.34
6223,4.9606,5.248,3,620,157.47
6222,7.4233,5.248,3,930,392.53
6221,4.8544,5.805,3,620,186.67
6220,4.7306,6.128,3,620,176.17
6219,7.4203,5.805,3,930,376.99
6218,7.6225,6.128,3,930,434.81
6217,4.6528,5.962,3,620,169.27
6216,8.1242,5.962,3,930,447.15
6215,4.7542,5.856,3,620,161.74
6214,7.5325,5.856,3,930,383.29
6213,7.4225,5.248,3,930,396.45
6212,5.2378,5.101,3.5,620,178.27
6211,8.0042,5.101,3.5,930,429.17
6210,4.7119,6.615,3,620,178.2
6209,8.3167,6.615,3,930,496.89
6208,4.6900,4.821,3,620,165.78
6207,8.0742,4.821,3,930,422.13
6206,4.8722,5.251,3,620,186.86
6205,7.8861,5.251,3,930,445.65
6204,9.3242,4.334,7,590,260.51
6203,16.3183,8.057,11,900,752.96
6202,5.1042,4.87,3,620,164.93
6201,7.3422,4.87,3,930,396.88
6200,4.7192,4.87,3,620,163.37
6199,7.3981,4.97,3,930,381.12
6198,4.6025,6.03,3,620,170.72
6197,0.0983,6.03,3,620,NULL
6196,0.1086,6.03,3,620,NULL
6195,0.0544,6.03,3,620,448.34
6194,8.0308,6.03,3,930,447.27
6193,4.7294,7.454,3,620,176.59
6192,7.9889,7.454,3,930,434.78
6191,7.3669,4.97,3,930,379.64
6190,4.7072,4.87,3,620,155.76
6189,7.5664,4.87,3,930,386.92
6188,5.7050,3.8,4,620,172.93
6187,7.7986,4.078,4,930,389.1
6186,4.8297,5.45,3,620,176.03
6185,7.8969,5.45,3,930,410.93
6184,4.7739,5.298,3,620,154.71
6183,7.3519,5.298,3,930,377.19
6182,7.1750,5.117,3,930,349.29
6181,7.9419,4.897,3,930,452.27
6180,8.6347,5.524,7,590,241.77
6179,11.5756,5.524,7,900,503.77
6178,7.6989,5.933,3,930,433.51
6177,5.8736,6.229,4,620,198.92
6176,8.3103,6.229,4,930,453.94
6175,4.7636,5.93,3,620,170.19
6174,7.5906,5.815,3,930,419.6
6173,4.6783,5.932,3,620,161.99
6172,7.7714,5.932,3,930,422.77
6171,4.8114,5.248,3,620,150.66
6170,7.3031,5.248,3,930,379.02
6169,4.6997,3.593,3,620,141.93
6168,7.3292,4.596,3,930,363.82
6167,7.6814,6.102,3,930,430.17
6166,4.7547,5.784,3,620,177.5
6165,7.7389,5.784,3,930,423.32
6164,4.9778,5.248,3,620,162.39
6163,7.1972,5.248,3,930,371.82
6162,6.0814,5.664,4.333333333333333,620,212.72
6161,9.1350,5.848,4.333333333333333,930,478.31
6160,4.6794,5.248,3,620,154.32
6159,7.3067,5.248,3,930,396.57
6158,10.0081,7.154,5,580,328.61
6157,5.6133,5.248,3,620,172.07
6156,12.0278,10.16,7,900,602.37
6155,6.7983,5.248,3,930,314.55
6154,12.4489,6.459,6.333333333333333,1080,731.92
6153,4.6853,4.747,3,620,165.05
6152,7.2389,4.749,3,930,386.44
6151,5.8361,4.707,4,620,191.81
6150,8.2186,4.704,4,930,381.93
6149,12.3008,4.724,6.333333333333333,1080,701.61
6148,4.7567,4.609,3,620,164.79
6147,8.1897,6.036,3,930,462.25
6146,5.1503,5.216,3,620,176.77
6145,3.6417,3.936,2,590,95.31
6144,7.2481,5.261,3,930,376.35
6143,4.9297,6.326,3,620,198.64
6142,7.7425,6.326,3,930,472.18
6141,4.6508,5.248,3,620,153.13
6140,7.0231,5.248,3,930,352.15
6139,7.4667,6.56,3,950,445.37
6138,5.0592,5.772,3,620,183.94
6137,7.5608,5.772,3,930,432.84
6136,5.5147,4.728,4,560,177.82
6135,8.9753,4.728,4,900,499.46
6134,4.5161,12.345,3,620,124.58
6133,0.2300,3.659,3,620,NULL
6132,0.0339,3.659,3,620,NULL
6131,4.4858,3.659,3,620,128.18
6130,7.5831,3.659,3,930,412.92
6129,8.2731,7.9,5,650,322.42
6128,5.8975,5.504,3,620,191.07
6127,7.6528,5.404,3,930,409.21
6126,3.7233,4.87,3,620,143.11
6125,1.8703,4.87,3,620,19.34
6124,7.2400,4.87,3,930,379.47
6123,5.4208,4.728,4.5,560,157.1
6122,8.5578,4.728,4,900,426.25
6121,4.9042,7.174,3,620,185.74
6120,8.1694,7.174,3,930,457.97
6119,4.7378,5.248,3,620,158.2
6118,7.3058,5.248,3,930,366.72
6117,7.0508,8.052,5,650,257.11
6116,7.3664,4.896,3,930,407.06
6115,4.7008,4.981,3,620,161.11
6114,7.0403,4.981,3,930,361.28
6113,4.8972,6.702,3,620,186.33
6112,7.9133,6.816,3,930,467.64
6111,4.7775,7.484,3,620,205.64
6110,8.5042,7.484,3,930,576.91
6109,5.7075,5.625,3,620,207.44
